,ticker,permno
320,ORCL,10104
320,MSFT,10107
320,TROW,10138
320,HON,10145
320,ADM,10516
320,FISV,10696
320,CERN,10909
320,KO,11308
320,CDNS,11403
320,ED,11404
320,XRAY,11600
320,FAST,11618
320,DTE,11674
320,ETN,11762
320,SIVB,11786
320,XOM,11850
320,MGM,11891
320,MXIM,11896
320,WM,11955
320,GD,12052
320,GE,12060
320,LH,12062
320,PBCT,12073
320,CHTR,12308
320,LYB,12345
320,GM,12369
320,IR,12431
320,TT,12431
320,FRC,12448
320,FLT,12449
320,IBM,12490
320,NLSN,12542
320,KMI,12558
320,HCA,12622
320,HII,12623
320,KSU,12650
320,MPC,12872
320,FBHS,12981
320,XYL,13035
320,APTV,13103
320,CPRI,13142
320,PSX,13356
320,FB,13407
320,NOW,13447
320,PNR,13586
320,FANG,13641
320,ABBV,13721
320,NCLH,13760
320,ZTS,13788
320,PEP,13856
320,MO,13901
320,IQV,13911
320,COP,13928
320,PVH,13936
320,CDW,13949
320,NWSA,13963
320,COTY,13983
320,AMGN,14008
320,SLB,14277
320,TWTR,14295
320,ALLE,14297
320,HLT,14338
320,CVX,14541
320,PAYC,14579
320,AAPL,14593
320,AMAT,14702
320,INFO,14704
320,ANET,14714
320,CTLT,14763
320,SYF,14776
320,CFG,14889
320,KEYS,14939
320,MRO,15069
320,VMC,15202
320,ETSY,15291
320,KHC,15408
320,PYPL,15488
320,TXN,15579
320,HPE,15707
320,EIX,15720
320,FTV,16087
320,LW,16431
320,FTI,16538
320,HSY,16600
320,KR,16678
320,DD,16851
320,CVS,17005
320,GIS,17144
320,SPGI,17478
320,WRB,17743
320,KMB,17750
320,RTX,17830
320,UTX,17830
320,LIN,18143
320,PG,18163
320,SO,18411
320,FOXA,18420
320,DOW,18428
320,CAT,18542
320,CTVA,18592
320,AMCR,18724
320,CL,18729
320,FMC,19166
320,CARR,19285
320,OTIS,19286
320,DE,19350
320,BMY,19393
320,WBA,19502
320,BA,19561
320,IVZ,19583
320,VNT,19807
320,VTRS,20057
320,ABT,20482
320,AAL,21020
320,LMT,21178
320,WRK,21186
320,NEM,21207
320,CAH,21371
320,IP,21573
320,EXC,21776
320,CNP,21792
320,PFE,21936
320,EMR,22103
320,JNJ,22111
320,GLW,22293
320,PPG,22509
320,PPL,22517
320,MMM,22592
320,MRK,22752
320,MSI,22779
320,FE,23026
320,CMS,23229
320,CHD,23393
320,CINF,23473
320,WEC,23536
320,TXT,23579
320,CTAS,23660
320,PEG,23712
320,HAL,23819
320,XEL,23931
320,ETR,24010
320,EVRG,24053
320,AEP,24109
320,NEE,24205
320,ARNC,24643
320,HWM,24643
320,NOC,24766
320,RTN,24942
320,AEE,24985
320,CMA,25081
320,OKE,25232
320,CPB,25320
320,WHR,25419
320,LHX,25582
320,F,25785
320,DOV,25953
320,DIS,26403
320,L,26710
320,K,26825
320,VAR,27043
320,HPQ,27828
320,BAX,27887
320,DUK,27959
320,XRX,27983
320,PNW,27991
320,APD,28222
320,VNO,28388
320,HES,28484
