date,downComp,upComp
1926-01-30,40,39
1926-02-27,65,16
1926-03-31,74,7
1926-04-30,10,72
1926-05-28,24,58
1926-06-30,7,76
1926-07-31,15,68
1926-08-31,29,55
1926-09-30,33,50
1926-10-30,70,12
1926-11-30,17,67
1926-12-31,26,58
1927-01-31,51,34
1927-02-28,8,77
1927-03-31,46,39
1927-04-30,34,51
1927-05-31,6,78
1927-06-30,68,18
1927-07-30,6,80
1927-08-31,27,59
1927-09-30,10,76
1927-10-31,75,12
1927-11-30,4,83
1927-12-31,37,50
1928-01-31,47,40
1928-02-29,59,28
1928-03-31,4,83
1928-04-30,24,63
1928-05-31,36,51
1928-06-30,79,8
1928-07-31,35,51
1928-08-31,5,81
1928-09-29,38,48
1928-10-31,53,33
1928-11-30,2,85
1928-12-31,37,51
1929-01-31,17,71
1929-02-28,59,29
1929-03-28,61,26
1929-04-30,39,49
1929-05-31,55,33
1929-06-29,7,81
1929-07-31,20,69
1929-08-30,18,70
1929-09-30,66,23
1929-10-31,86,2
1929-11-27,82,7
1929-12-31,35,54
1930-01-31,18,70
1930-02-28,32,55
1930-03-31,15,72
1930-04-30,58,29
1930-05-29,51,35
1930-06-30,86,1
1930-07-31,20,67
1930-08-29,37,50
1930-09-30,85,2
1930-10-31,77,10
1930-11-29,50,37
1930-12-31,75,12
1931-01-31,9,78
1931-02-28,11,76
1931-03-31,77,10
1931-04-30,85,2
1931-05-29,82,5
1931-06-30,1,86
1931-07-31,74,13
1931-08-31,45,42
1931-09-30,86,0
1931-10-31,23,64
1931-11-30,82,7
1931-12-31,86,3
1932-01-30,38,51
1932-02-29,31,58
1932-03-31,85,4
1932-04-30,86,3
1932-05-31,87,2
1932-06-30,33,56
1932-07-30,0,89
1932-08-31,1,88
1932-09-30,62,26
1932-10-31,86,3
1932-11-30,72,17
1932-12-31,33,56
1933-01-31,30,59
1933-02-28,88,1
1933-03-31,21,68
1933-04-29,1,88
1933-05-31,0,89
1933-06-30,4,85
1933-07-31,75,14
1933-08-31,17,72
1933-09-30,79,10
1933-10-31,85,4
1933-11-29,16,73
1933-12-30,35,54
1934-01-31,6,83
1934-02-28,60,29
1934-03-31,39,50
1934-04-30,60,29
1934-05-31,82,8
1934-06-30,21,69
1934-07-31,88,2
1934-08-31,14,76
1934-09-29,36,53
1934-10-31,68,22
1934-11-30,9,81
1934-12-31,48,42
1935-01-31,72,18
1935-02-28,67,23
1935-03-30,68,22
1935-04-30,5,85
1935-05-31,22,68
1935-06-29,16,74
1935-07-31,15,75
1935-08-31,24,66
1935-09-30,32,58
1935-10-31,22,68
1935-11-30,22,68
1935-12-31,29,61
1936-01-31,6,84
1936-02-29,32,58
1936-03-31,50,39
1936-04-30,88,2
1936-05-29,7,83
1936-06-30,28,62
1936-07-31,15,75
1936-08-31,33,57
1936-09-30,40,50
1936-10-31,15,75
1936-11-30,40,50
1936-12-31,49,41
1937-01-30,27,63
1937-02-27,38,52
1937-03-31,50,40
1937-04-30,84,6
1937-05-28,61,29
1937-06-30,79,11
1937-07-31,4,86
1937-08-31,80,10
1937-09-30,90,0
1937-10-30,83,7
1937-11-30,74,16
1937-12-31,73,17
1938-01-31,43,47
1938-02-28,11,79
1938-03-31,90,0
1938-04-30,0,90
1938-05-31,64,26
1938-06-30,0,90
1938-07-30,14,76
1938-08-31,76,14
1938-09-30,37,53
1938-10-31,6,84
1938-11-30,66,24
1938-12-31,16,74
1939-01-31,77,13
1939-02-28,14,76
1939-03-31,89,1
1939-04-29,48,42
1939-05-31,2,88
1939-06-30,83,7
1939-07-31,1,89
1939-08-31,89,1
1939-09-30,13,77
1939-10-31,66,24
1939-11-30,74,16
1939-12-30,26,64
1940-01-31,63,27
1940-02-29,34,56
1940-03-30,29,61
1940-04-30,50,40
1940-05-31,90,0
1940-06-29,6,84
1940-07-31,21,69
1940-08-31,25,65
1940-09-30,34,56
1940-10-31,20,70
1940-11-30,61,29
1940-12-31,50,40
1941-01-31,58,32
1941-02-28,54,36
1941-03-31,31,59
1941-04-30,74,16
1941-05-31,42,48
1941-06-30,7,83
1941-07-31,7,83
1941-08-30,56,34
1941-09-30,56,34
1941-10-31,81,9
1941-11-29,69,21
1941-12-31,65,25
1942-01-31,22,68
1942-02-28,49,41
1942-03-31,78,12
1942-04-30,72,18
1942-05-29,29,61
1942-06-30,30,60
1942-07-31,8,82
1942-08-31,29,61
1942-09-30,10,80
1942-10-31,2,88
1942-11-30,53,37
1942-12-31,14,76
1943-01-30,5,85
1943-02-27,4,86
1943-03-31,12,78
1943-04-30,33,57
1943-05-29,10,80
1943-06-30,37,53
1943-07-31,78,12
1943-08-31,35,55
1943-09-30,8,82
1943-10-30,51,39
1943-11-30,88,2
1943-12-31,1,89
1944-01-31,22,68
1944-02-29,33,57
1944-03-31,14,76
1944-04-29,76,14
1944-05-31,5,84
1944-06-30,9,80
1944-07-31,61,28
1944-08-31,24,65
1944-09-30,49,40
1944-10-31,45,44
1944-11-30,29,60
1944-12-30,7,81
1945-01-31,31,58
1945-02-28,3,86
1945-03-31,74,16
1945-04-30,1,89
1945-05-31,25,65
1945-06-30,34,56
1945-07-31,72,18
1945-08-31,22,68
1945-09-29,3,87
1945-10-31,25,65
1945-11-30,12,78
1945-12-31,42,47
1946-01-31,13,77
1946-02-28,85,5
1946-03-30,15,75
1946-04-30,25,65
1946-05-31,23,67
1946-06-28,77,13
1946-07-31,72,18
1946-08-30,87,3
1946-09-30,88,2
1946-10-31,41,49
1946-11-30,41,49
1946-12-31,21,69
1947-01-31,35,55
1947-02-28,50,39
1947-03-31,70,20
1947-04-30,83,7
1947-05-29,58,32
1947-06-30,17,73
1947-07-31,14,76
1947-08-29,65,25
1947-09-30,48,42
1947-10-31,36,54
1947-11-29,67,23
1947-12-31,27,63
1948-01-31,58,32
1948-02-28,84,6
1948-03-31,5,85
1948-04-30,25,65
1948-05-28,3,87
1948-06-30,39,51
1948-07-30,80,10
1948-08-31,27,63
1948-09-30,70,20
1948-10-30,5,85
1948-11-30,90,0
1948-12-31,18,72
1949-01-31,39,51
1949-02-28,65,25
1949-03-31,11,79
1949-04-30,65,25
1949-05-31,65,25
1949-06-30,51,39
1949-07-29,5,85
1949-08-31,22,68
1949-09-30,12,78
1949-10-31,25,65
1949-11-30,27,63
1949-12-31,9,81
1950-01-31,23,67
1950-02-28,29,61
1950-03-31,39,51
1950-04-29,19,71
1950-05-31,23,67
1950-06-30,86,4
1950-07-31,42,48
1950-08-31,19,71
1950-09-29,7,83
1950-10-31,56,34
1950-11-30,32,58
1950-12-30,10,80
1951-01-31,7,83
1951-02-28,39,51
1951-03-31,65,25
1951-04-30,18,72
1951-05-31,59,31
1951-06-29,73,17
1951-07-31,0,90
1951-08-31,15,75
1951-09-28,31,59
1951-10-31,60,30
1951-11-30,35,55
1951-12-31,20,70
1952-01-31,28,62
1952-02-29,56,34
1952-03-31,16,74
1952-04-30,72,18
1952-05-29,10,80
1952-06-30,11,79
1952-07-31,24,66
1952-08-29,46,44
1952-09-30,63,27
1952-10-31,51,39
1952-11-28,3,87
1952-12-31,11,79
1953-01-30,40,50
1953-02-27,53,37
1953-03-31,59,31
1953-04-30,69,21
1953-05-29,33,57
1953-06-30,65,25
1953-07-31,13,77
1953-08-31,77,13
1953-09-30,44,46
1953-10-30,6,84
1953-11-30,19,71
1953-12-31,53,37
1954-01-29,9,81
1954-02-26,35,55
