,downYear,upYear,downMonth,upMonth,consecUp,consecDown
11199,7,6,85,74,5,6
10452,10,8,119,101,4,5
14904,12,31,220,302,7,8
11682,2,0,21,9,2,5
13688,26,67,445,671,15,7
11340,26,48,367,531,13,7
12183,16,28,247,283,7,8
14795,22,38,343,401,11,6
14154,16,19,212,227,8,6
10233,9,15,135,174,13,6
10153,17,15,205,208,12,6
10831,0,2,9,22,6,2
10364,31,42,388,497,10,8
13311,18,33,278,346,9,7
14859,20,35,305,360,9,13
10145,31,64,493,654,13,9
14250,23,30,308,357,13,9
13821,16,52,335,513,14,9
11666,11,16,162,167,5,6
12706,24,31,291,374,12,7
10495,18,25,240,292,12,5
14541,27,69,515,637,9,9
14568,7,6,81,85,6,5
12570,20,48,370,473,10,7
11287,10,12,125,156,8,13
10858,5,9,78,93,5,9
14736,17,58,392,517,9,6
12394,16,21,213,233,6,7
14066,16,34,288,334,7,6
11041,18,20,217,253,9,8
10225,22,66,447,613,10,9
12909,17,28,241,304,10,9
10575,14,28,218,293,10,8
14912,27,32,327,389,12,6
11754,27,57,448,571,10,8
11674,23,73,468,684,15,7
14605,9,6,92,95,7,6
10807,14,21,210,231,10,6
14955,6,9,89,98,6,6
13792,20,26,270,290,15,14
14496,19,38,309,386,10,8
15325,7,11,110,110,11,7
10890,30,38,383,459,11,7
12546,29,47,420,498,9,8
13434,20,22,232,273,10,7
13573,17,27,245,285,12,7
14058,9,13,127,143,7,5
10049,4,2,41,39,7,5
10372,21,34,310,371,10,9
13442,11,27,210,255,11,6
11404,25,71,469,683,12,9
12474,7,7,96,74,4,7
12060,27,61,497,575,12,13
15456,30,45,442,474,12,9
10137,19,41,322,406,14,6
11850,27,69,492,660,14,6
15341,16,26,231,278,8,8
12503,34,46,460,511,9,8
10786,31,43,435,464,10,9
16109,19,40,305,413,11,7
13565,8,10,122,118,10,5
10524,20,24,246,291,8,8
14218,18,41,315,407,14,10
12749,23,39,339,420,12,7
10241,22,40,327,427,11,5
13549,9,12,118,140,10,8
14322,27,52,406,544,15,5
14509,19,37,305,372,8,7
27561,19,21,247,244,7,6
15069,37,59,529,623,10,9
12810,9,6,106,81,6,6
11156,18,36,289,369,13,11
11826,10,20,175,204,8,12
14533,23,32,292,374,9,8
14090,24,36,326,399,14,8
10479,14,21,216,233,9,6
13522,12,30,231,287,9,7
10591,19,22,234,263,11,8
12079,32,51,457,544,14,13
13362,9,9,104,116,7,6
12933,11,8,132,111,5,9
15659,20,55,405,493,12,9
15720,27,69,453,694,12,10
15704,11,14,140,162,10,7
13696,8,12,115,159,16,7
16176,0,1,7,19,8,2
16432,34,57,507,590,18,8
10823,19,28,276,322,9,8
11260,29,40,390,450,13,10
21573,32,61,512,605,11,7
15042,9,13,133,154,9,5
17929,11,10,116,149,11,7
11789,9,8,103,109,8,6
17128,14,22,214,242,6,6
13143,13,28,235,276,9,8
19537,18,38,305,383,17,10
11148,7,15,127,164,7,5
12298,1,2,24,26,4,6
16707,12,28,221,272,10,6
17419,0,2,15,19,5,3
18542,24,52,399,531,10,7
19131,15,35,272,334,11,6
20853,17,41,286,424,12,5
12888,16,32,279,313,11,9
14875,5,10,86,101,11,7
17232,6,11,97,134,9,5
19203,9,5,87,100,8,6
13864,1,1,15,19,6,5
19596,20,32,270,365,9,7
18198,0,2,13,21,9,3
21020,27,37,364,423,10,7
17849,1,1,16,16,5,4
10196,1,1,14,18,12,7
19027,14,28,228,284,10,10
19385,12,11,144,147,8,10
13100,19,41,320,414,10,6
